ISBN-10,ISBN-13,タイトル,著者,出版社,出版日,書齢,定価,価格（新品）,在庫数（新品）,価格（非常によい）,在庫数（非常によい）,価格（良い）,在庫数（良い）,価格（キズや使用感あり）,在庫数（キズや使用感あり）,内容,ジャンル,言語,本の長さ,版型
"4767825210","9784767825212","図解世界の名作住宅","著:中山 繁信,著:松下 希和,著:伊藤 茉莉子,著:齋藤 玲香","エクスナレッジ","2018-09-29","7年","1980","","","907","1","670","1","","","ライト、コルビュジエ、ミース、イームズ、アアルト、カーン、 丹下健三、前川國男、菊竹清訓、宮脇檀、藤森照信 ... 巨匠たちが残した住宅遺産を、あえて写真を一切使わずイラスト図解!!2014年発売の定番書『世界で一番美しい名作住宅の解剖図鑑』が、大幅改訂&amp;コンパクトサイズ化で生まれ変わります!!","家事","","300","A5"
"4907072465","9784907072469","なぜデンマーク人は初任給でイスを買うのか？","小澤良介 著","きずな出版","2015-11-24","10年","1430","","","216","1","150","1","","","世界幸福度ランキング1位のデンマークではなぜ初任給でイスを買うのか？世界一幸せな国の人々は洋服よりも家具を選ぶ。","日本文学・評論・随筆・その他","jpn","157","B6"
"4395023061","9784395023066","アスプルンド／アールト／ヤコブセン","鈴木敏彦 著,杉原有紀 著","彰国社","2013-05","12年","3080","","","","","","","","","北欧デザインの源流へ…。３人の巨匠からその神髄を学ぶ。アスプルンド、アールト、ヤコブセンが目指したトータルデザインを、北欧の自然・生活を軸に読み解く書。これからの建築デザインの豊かな方向性を指し示す。","建築","jpn","125","B5"
"4582634648","9784582634648","フィン・ユールの世界 (コロナ・ブックス)","織田憲嗣 著","平凡社","2012-02","14年","2200","","","","","","","","","「世界で最も美しい肘掛けを持つ椅子」を生んだデンマーク・デザインの至宝。椅子、家具類から、日用品、インテリアデザインに至るまで余すところなく作品を網羅。すべての家具マニアにおくる待望の決定版。","写真・工芸","jpn","167","B5"
"4761532327","9784761532321","北欧の建築","小泉隆 著","学芸出版社（京都）","2017-05-01","8年","3520","","","","","","","","","北欧を代表する建築家の作品から、日本では知られていない建築家の名作、話題の現代建築まで85事例を収録。光、色、構造、素材、窓、階段、暖炉、緑や水といった多彩なデザイン・エレメントを切り口に、シンプルで美しく機能的なディテールを多数のカラー写真と図面で紹介。建築家紹介、所在地リスト、ブックガイド付き。小泉　隆;0502;01;北欧を代表する建築家の作品から、知られざる名作、話題の現代建築まで、シンプルで美しく機能的な85のディテールをカラーで紹介;20170402北欧を代表する建築家の作品から、知られざる名作、話題の現代建築まで、シンプルで美しく機能的な85のディテールをカラーで紹介Introduction：北欧の建築について

■Light and Color

　ストックホルム市庁舎―青の間のハイサイドライト
　ストックホルム市立図書館―開架閲覧室のロトンダ
　オーフス市庁舎―多目的ホールのスカイライト
　アルヴァ・アールトのクリスタル・スカイライト
　アルヴァ・アールトのリフレクター
　……

■Structure and Material

　ヴィープリの図書館―講義室の天井
　ハウスヴェア教会―礼拝堂の白い天井
　聖マルコ教会―煉瓦のヴォールト天井
　ガンメル・ヘレルプ高等学校体育館―曲面天井と外部床
　シベリウス博物館―展示室の構造体
　……

■Window

　パイミオのサナトリウム―病室の窓まわり
　アスプルンドの夏の家―居間の窓
　聖ペトリ教会―クリップ止めの窓
　ナクスタ教会―窓につけられたフィン
　ヴィープリの図書館―講義室の弓形サッシ
　……

■Moving

　マイレア邸―居間の階段
　SAS ロイヤルホテル―ロビーの螺旋階段
　オーフス市庁舎―アトリウムの螺旋階段
　ロドオウア市庁舎―エントランスホールの階段
　イェーテボリ裁判所増築―メインホールの階段
　……

■Touching and Warming

　アルヴァ・アールトの取っ手
　グンナール・アスプルンドの取っ手
　マイレア邸―自由曲線で削られた暖炉
　アスプルンドの夏の家―階段上の丸みのある暖炉
　ムーラッツアロの実験住宅のスモークサウナ―浴室

■Green and Water

　オーフス大学―メインホールの蔦が覆う壁面
　VMマウンテン―テラスのプラントボックス
　モースゴー先史博物館―芝生の大斜面屋根
　アルヴァ・アールトの緑
　デンマーク国立銀行―緑
　……

Nordic Architects／Examples and Map／Reference／Postscript","建築","jpn","239","A5"
"4767828511","9784767828510","10の住まいの物語","八島正年 著,八島夕子 著","エクスナレッジ","2021-01-22","5年","1980","","","","","1050","1","","","家は、時を重ねて「住まい」になる。
郊外、都市型、終の住処、二拠点居住……
それぞれのカタチに合った、自由な暮らし。
人気建築家が手がけた、 美しくもおおらかな、10の住まいの物語。

住まいには、その人の生き方や価値観がそのまま見えてきます。
この本では、八島建築設計事務所が手がけた
ライフスタイルの異なる10の住まいを訪ね、
豊かな文章と写真でそれぞれの家族の暮らしぶりを紹介します。
暮らしを営む「器」となる「家」を設計した建築家が込めた想いや意図も
手描きの俯瞰図やイラストで分かりやすく解説。
併せて読むことで、より深く住まいの魅力を感じることができます。

家づくりを考えている方はもちろん、家やインテリアが好きな方、
日々の生活をもっと豊かに過ごしたい方へのヒントが詰まった1冊です。

■目次■
森の中の図書館(おおたかの森の家)
住まいは人生の器(神木本町の家)
庭を取り込むリビング(武蔵野の家)
どこに座ってもいい感じ(深沢の家)
伸びやかな終の住処(辻堂の家)
三世代がつながる暮らし(続・辻堂の家)
猫と楽しむもうひとつのリビング(吉祥寺南町の家)
住み継ぐ暮らし(梶原の家)
行き来する暮らしかた(葉山一色の家+野尻湖の小さな家)
丘の上の白い方舟(山手町の家)
コラム","家事","jpn","219","A5"
"4798179086","9784798179087","暮らしの図鑑 フィンランド時間","吉田Obergみのり 著","翔泳社","2024-02-13","2年","1980","","","1491","1","","","","","&lt;p&gt;静かで温かなフィンランドの暮らしと魅力が詰まった1冊&lt;/p&gt;&lt;p&gt;2023年に「世界幸福度ランキング」で6年連続1位に輝いたフィンランド。ムーミンやアラビアの食器など、洗練された北欧デザインの数々。森と湖に囲まれた、おしゃれな暮らしというイメージがあります。&lt;/p&gt;&lt;p&gt;この本では、フィンランドに移住し暮らす著者が、外側から感じる憧れだけではない、フィンランドの実際の生活を「時間」を軸にして紹介します。一年と一日、そして一生。季節と自然に寄り添い、一人ひとりを尊重した、優しく穏やかな日々。でも言うべきことは社会に提言する。そんな暮らしが見えてきます。知っておきたい、フィンランドの社会にまつわる基礎知識や、私たちの暮らしで真似したい、取り入れたいことも掲載しています。&lt;/p&gt;&lt;p&gt;〈季節のフィンランド暮らしの一例〉
春／おいしい野草を見つける、カラフルな装飾と料理で祝うイースター、花粉症といえば白樺
夏／クリスマスと同じくらい大切な夏至祭、ザリガニパーティ、夏休みはサマーコテージで、開放感満載の夏の蚤の市
秋／リンゴンベリー、きのこは秋の味覚の代表格、街がデザイン一色に染まるヘルシンキ・デザイン・ウィーク
冬／「懺悔の火曜日」、アイスフィッシングは冬の人気アクティビティ、独立記念日の夜　　　　などなど&lt;/p&gt;&lt;p&gt;〈一日の時間の一例〉
朝／季節ごとに変わる朝の過ごし方、朝食はコーヒーと共に、家事時間を短縮するための工夫
昼／誘い文句は「コーヒーに行こう」、おふくろの味といえば焼き菓子、落ち込んだり悩んだりしたら森へ
夜／集まるときは「誰かの家」でホームパーティー、サウナ文化はユネスコにも登録　　　　などなど&lt;/p&gt;&lt;p&gt;フィンランドが好きな方はもちろん、
心地よい暮らし方を探している方にもおすすめの1冊です。&lt;/p&gt;&lt;p&gt;〈著者紹介〉
吉田 Öberg みのり（よしだ・おーばり・みのり）
2014年よりフィンランドのヘルシンキ在住。Sake Bar &amp; Izakaya 経営。執筆活動も行う。趣味は森歩き、きのこ、野草、カミーノ巡礼、キャンプ、音楽、映画、詩、発酵。&lt;/p&gt;フィンランド在住の吉田みのりさんが紹介する、北欧の日々。心地よい1年、1日の暮らしの時間を綴ります。","家事","jpn","216","A5変"
"4480874127","9784480874122","建築家は住まいの何を設計しているのか","藤山和久 著","筑摩書房","2022-12-19","3年","1980","","","","","","","","","理想を叶えながら、素人には思いもよらないアイデアを提供することで、暮らしのアベレージをグッとあげる建築家たちを取材した。彼らがつくる快適な住まいとは。理想を叶えながら、思いもよらないアイデアを提供して暮らしのアベレージをあげる建築家たちを取材。彼らがつくる快適な住まいとは。","建築","jpn","240","46"
"4416717415","9784416717417","北欧木の家具と建築の知恵","長谷川清之 著","誠文堂新光社","2018-01-14","8年","2860","","","","","","","","","北欧の木造家具や建築を長年研究してきた著者が今だからこそ伝えたい、北欧現代デザインを生み出した人々の生活の知恵の数々。

北欧の家具や什器、建築のデザインに興味のある人はもちろん、
そのルーツを探ることで見えてきた、日本人にとっても重要な木の文化や、ものづくりの原点について、
著者が現地で撮りだめてきた多くの写真とともに解説した書籍です。

はじめにより～
北欧の木造建築、さらに当時のままの家具や什器などを見ると、
技術的には劣っていても、木を如何に活かすかを考え、木を丸ごと活かす工夫が見られます。
特に椅子を見るとそれを強く感じるとともに、モノの本来の在り方にまで思いを巡らせていることが理解できます。
19世紀になっても、北欧の人々にとって、家は一家の主を中心として家族総出で造るものでした。
什器や椅子、テーブルなども勿論、主を初めとした使い手の手作りでした。
そのため現代でも、家の補修さえ専門家に任せることなく、自ら行う人々が多く見られます。

もちろん私達日本人も、歴史的にも木との関わりが強く、木に対する親しみの深い民俗です。
しかし現代の私達はそれを忘れかけているように思えます。
日本では早くから専門分化が進み、家を建てるのも家具什器を作るのも、もっぱら工人の仕事となっていきました。
それによって専門家の技術は発達しました。
一方で、それらを使う立場の者は木との関わり・木への想いが薄れたとも云えそうです。
現代では、「住まい」は耐久消費財として住宅メーカーの手にわたり、住み手との関りはますます遠のいています。
住み手は、「住まい」を共に「造る」のではなく、「買う」感覚になってしまっています。

近年、各種メディアで古民家や木の家具が取り上げられます。
しかし常に一過性のブームに終わってしまう。
日本の森は、戦後植林された杉、檜が成長しているにも関わらず、手入れがされないため、70％が“死の森”となっていると云われます。この森との関わり方にも、現代の日本人が置き忘れた大切なことが感じられます。

このような北欧の人々の木や自然への想いを知るにつけ、
私たち日本人にも親しみやすく、優れた“北欧デザイン”の根底には、
その想いを基にした“ものづくり”の思想があるのではないか、と考えるようになりました。

民家の調査行を通して得たエピソードを交えつつ、
第二章に示した、無名の人々の手によって作られた、北欧の民家の中の家具・什器等、云わば民芸品の数々を通して、
それらに込めた彼らの強く、深い木（樹）に対する想いを伝えたい。
そして、彼らの想いの表れた“ものたち”から、「北欧デザイン」の根底にあるものを読み取っていただきたいと考えています。北欧の木造家具や木造建築を多数紹介。貴重な写真から北欧現代デザインのルーツが見えてくる。北欧デザイン好きには必見の資料本。第１章　北欧の人々の帰途の強く深い関わり
第２章　住まいと建築物
第３章　家具
第４章　暮らしの道具","写真・工芸","jpn","208","A5"
"4768306403","9784768306406","カウニステのデザイン (玄光社mook)","","玄光社","2015-07-23","10年","1760","","","","","","","","","北欧フィンランド生まれの人気テキスタイルブランド、カウニステを特集したムック。全コレクションを紹介するとともに、ブランドとしての姿勢や哲学、そして若手デザイナーたちの素顔とクリエイティビティに迫る。","写真・工芸","jpn","127","A5"
"4779651174","9784779651175","ONKUL vol．21 (ニューズムック)","","三栄","2024-10-21","1年3ヶ月","990","","","","","454","3","","","特集「ミッドセンチュリーに憧れる。」ミッドセンチュリーってなんだろう。知っているようで知らない、憧れのミッドセンチュリー期の美しいプロダクトを『ONKUL』なりに解釈して、深堀りする巻頭特集。ミッドセンチュリーデザインの日用品とは？アメリカ、北欧、ヨーロッパ、日本生まれのレトロ＆シンプルモダンな名作・名品を特集します。さらに、ミッドセンチュリーとファッションの関係とは？表紙＆巻頭ビジュアル＝安藤サクラ、大特集に連動して古都をロケーションに等身大の街歩きビジュアルでお届けします！・ミッドセンチュリーと日用品・椅子とパンツのいい関係・ニッポンのミッドセンチュリー・インドア ワークスタイル・ミッドセンチュリーと北欧デザイン・映画で学ぶミッドセンチュリー　『冬は重ねてI'M A LAYERING MASTER 』ベストにジレにカーディガン...はたまた足元も。この秋冬はレイヤード映えする強者が多数。素材を重ねて、色を重ねて、重ねれば重ねるほど冬のおしゃれが楽しくなる。　『オンクルな10人』10周年を迎えた『ONKUL』の特別企画。ベーシックをこよなく愛する「オンクルな人」。著名人～街角の洒落たおじさんまで老若男女、真面目にハンサムで素敵な人たちの好評スナップ企画の秋冬版。and more.. ※企画内容は変更になる可能性がございます。","諸芸･娯楽","","135","A4変"
"4845920085","9784845920082","北欧式インテリア・スタイリングの法則","フリーダ・ラムステッド 著,久山葉子 訳,机宏典 訳","フィルムアート社","2020-12-08","5年","2640","","","","","","","","","","建築","jpn","239","B5"
"4766130545","9784766130546","カイ・フランクへの旅","小西亜希子 著,永禮賢 写真","グラフィック社","2017-12-25","8年","3960","","","2398","1","","","","","今日に続くフィンランド・デザインの礎を作り、1950～60年代の黄金期を支えたプロダクトデザイナー、カイ・フランク。
彼がデザインしたシンプルで機能的、丈夫で手頃な価格のテーブルウェアは、イッタラの「ティーマ」や「カルティオ」として、発表から60年以上を経たいまなお世界中で愛されている。
そんなレジェンドの知られざる仕事や人生、素顔を、丁寧な取材と貴重な写真の数々によりひもといてゆくデザイン紀行。","芸術総記","jpn","224","B5変"
"4766138368","9784766138368","建築・住宅デザインの現場","著:高野 保光,著:芦沢 啓治,著:新関 謙一郎,著:手嶋 保,著:藤本 寿徳,著:熊澤 安子,著:杉下均＋出口佳子,著:中山 大介","グラフィック社","2024-07-08","1年7ヶ月","3520","","","","","","","","","上質な住まいや居心地はいかにして生み出されているのか。
その創造の現場に迫る。
住宅設計の名手たちが集結。
新作から幻の未発表作まで。珠玉の設計集。上質な住まいや居心地はいかにして生み出されるか。","建築","jpn","224","B5"
"4767823730","9784767823737","上質に暮らすおもてなし住宅のつくり方","関本竜太 著","エクスナレッジ","2017-09-27","8年","2420","","","","","","","","","&quot;北欧で“自然体に生きる”生活哲学を学んだ人気建築家が贈る、毎日が喜びにあふれる家のつくり方。
設計者の配慮と経験の集結ともいえる「おもてなし住宅」は、住まいの暮らしを豊かに彩り、訪れる人々をあたたかく迎え入れてくれるのだ。住まい⼿に寄り添った住宅設計を数多く⼿がけ建築知識でのディテール連載も好評だったリオタデザイン・関本氏の考える「おもてなし住宅」のつくり方を紹介します。&quot;","建築","","160","A4"
"4766127455","9784766127454","ふだん着のフィンランド","モニカ・ル－ッコネン 文,カタリ－ナ・ヤルビネン 写真,関口リンダ 〔訳・コ－ディネ－ト","グラフィック社","2015-01-25","11年","1815","","","","","","","","","インテリア、テキスタイル、フード、いつも自然とともにある暮らし…。“ふつう”がすてきな暮らしのコツ。森と湖、デザインの国のリアルライフがまるごとわかる１冊。切り取れるポストカード付き。","諸芸･娯楽","jpn","141","A5"
"4418091017","9784418091010","北欧インテリア (別冊家庭画報 Home ideas)","","世界文化社","2009-02","17年","2515","","","","","","","","","美しいデンマークの名作住宅を大判の圧倒的なビジュアルで紹介しながら、その魅力と真髄に迫る。北欧名作家具傑作選、北欧家具の人気ショップ３０軒なども紹介。デザインに関心のある全ての人必読の愛蔵版的１冊。","家事","jpn","129","A4変"
"4416621299","9784416621295","「北欧デザイン」の考え方","渡部千春 著","誠文堂新光社","2022-10-12","3年","2970","","","","","","","1664","1","家具、建築、テキスタイル、工芸、グラフィック……「北欧デザイン」の全体像が理解できる決定版

シンプルで洗練されたデザイン家具や日用品が日本でも長年愛されている北欧デザイン。近年では、環境や社会福祉に配慮した素材選びや生産体制など、北欧のものづくりの思想や価値観そのものが、「北欧デザイン」という現代的なデザイン・ライフスタイルとして広く浸透しつつあります。

一方で、アアルト、ヤコブセン、マリメッコ、アラビアなど、個別のブランドやプロダクトに関する解説本などを目にするものの、デザイナー同士のつながりや、家具、建築、テキスタイル、工芸、グラフィックといった北欧デザインの諸ジャンルを総合的に解説する日本語の書籍はありませんでした。

本書では、そんな北欧デザインの全体像を解説するため、横断的な章立てによりトピックを厳選。わたしたちがよく知る北欧デザインの誕生背景をイラスト付きのポイント解説や豊富な写真とテキストにより読み解いていきます。

■目次
北欧デザインを紐解く前に……
北欧各国のデータ

１章　北欧デザインの目覚め
北欧におけるデザイン意識の萌芽
女性の仕事から始まったテキスタイルデザイン
陶磁器とガラス分野のモダニズム開花

２章　黄金期を迎える北欧
アメリカにおける北欧デザイン
デザイン・イン・スカンジナビア展
職人たちの手による家具
アルネ・ヤコブセンが目指した有機的なフォルム
アルヴァ＆アイノ・アアルトが生み出した息の長いプロダクト
フィンランドデザインの良心 カイ・フランクの思想
ローカルとグローバルを繋ぐ北欧のグラフィック
マリメッコがもたらした革新性とデザイン
北欧の人々が愛する照明の数々
ファンシーではない北欧の玩具デザイン
日本の民芸運動と北欧デザインの繋がり

３章　新しい北欧デザインへ
大量生産品にも現れる北欧らしいデザインとは
テクノロジーとともに進化したプラスチックの可能性
北欧のエルゴノミクスデザイン
2000年以降のライフスタイルデザイン
アウトドアアクティビティの宝庫 北欧で発展したデザイン
北欧らしさを追究したデザイン

【コラム】
1930年ストックホルム博
グスタフスベリ・スタジオとリサ・ラーソン
ビルゲル・カイピアイネンとルート・ブリュック
H55について
オーナメントの普及と北欧デザインの幸福度
スウェーデンガラスとエリック・ホグラン
北欧のデザイン教育

【データ編】
年表
索引
フォトクレジット
おわりに
主要参考文献一覧

****************************イラスト付きのポイント解説で重要なトピックをわかりやすく紹介。世界に愛される「北欧デザイン」の今までとこれからを学べる一冊。北欧デザインを紐解く前に……
北欧各国のデータ

１章　北欧デザインの目覚め
北欧におけるデザイン意識の萌芽
女性の仕事から始まったテキスタイルデザイン
陶磁器とガラス分野のモダニズム開花

２章　黄金期を迎える北欧
アメリカにおける北欧デザイン
デザイン・イン・スカンジナビア展
職人たちの手による家具
アルネ・ヤコブセンが目指した有機的なフォルム
アルヴァ＆アイノ・アアルトが生み出した息の長いプロダクト
フィンランドデザインの良心 カイ・フランクの思想
ローカルとグローバルを繋ぐ北欧のグラフィック
マリメッコがもたらした革新性とデザイン
北欧の人々が愛する照明の数々
ファンシーではない北欧の玩具デザイン
日本の民芸運動と北欧デザインの繋がり

３章　新しい北欧デザインへ
大量生産品にも現れる北欧らしいデザインとは
テクノロジーとともに進化したプラスチックの可能性
北欧のエルゴノミクスデザイン
2000年以降のライフスタイルデザイン
アウトドアアクティビティの宝庫 北欧で発展したデザイン
北欧らしさを追究したデザイン

【コラム】
1930年ストックホルム博
グスタフスベリ・スタジオとリサ・ラーソン
ビルゲル・カイピアイネンとルート・ブリュック
H55について
オーナメントの普及と北欧デザインの幸福度
スウェーデンガラスとエリック・ホグラン
北欧のデザイン教育

【データ編】
年表
索引
フォトクレジット
おわりに
主要参考文献一覧","写真・工芸","jpn","224","A5"
"4418234128","9784418234127","フィンランドのライフスタイル","キュレイターズ 編","世界文化社","2023-04-18","2年","2970","","","","","","","","","世界一幸せな国フィンランドからの素敵なモノ・コト

・時代を超えるマスターピース、大集合！
・デザイナーごとに記事構成、わかりやすい
・SCOPE平井千里馬、週末北欧部chikaなどコラム充実

フィンランド好き、北欧好き、デザインに興味がある方などにおすすめの一冊です。
アルヴァ・アアルトやカイ・フランクといった
巨匠たちのマスターピースを心ゆくまでご覧いただけます。
今年90周年を迎える「スツール 60」は極初期のものから近年まで、
眼福の名作たちを５見開きにわたって楽しめます。
また、デザイナーごとに記事構成しているので、初心者の方にもわかりやすいのが特徴です。
デザイナーそれぞれのプロフィールを読めば、
“デザインが生まれた背景”フィンランドのライフスタイルを知ることができます。世界一幸せな国フィンランドからの素敵なモノ・コト","家事","aar","208","B5"
"457930408X","9784579304080","皆川明の旅のかけら","皆川明 著","文化出版局","2003-11","22年","1650","","","","","399","3","277","2","ミナペルホネンの皆川明による、雑誌「装苑」の好評連載を単行本化。テキスタイル、時間の軸を超えるデザイン、人との出会いなど、様々な“旅のかけら”たちを集めた１冊。カラー写真多数収録。","日本文学・評論・随筆・その他","jpn","127","A5"
"4167900637","9784167900632","ミナを着て旅に出よう (文春文庫)","皆川明 著","文藝春秋","2014-03-10","11年","836","","","361","6","","","","","ミナ ペルホネン誕生の奇跡がここに

生地からオリジナルで作り上げる唯一無二の服作り。駅伝のチームワークにも似た独自の仕事スタイルとは? 初の著書がついに文庫化。オリジナルの生地から作り上げる唯一無二の服作り。ミナの服にはどこか懐かしい心象風景が宿る。クリエイションの源を語った名著。","日本文学・評論・随筆・その他","jpn","192","A6/文庫"
"4838750544","9784838750542","ミナペルホネンと皆川明 (マガジンハウスムック)","","マガジンハウス","2015-10-07","10年","1518","","","","","","","","","ミナペルホネンは美しい存在感と生地から服を作るというアプローチでファッション界に衝撃をもたらした。デビューから２０年。ミナペルホネンはどこからきてどこへいくのか。その仕事やインタビューからひもとく。","諸芸･娯楽","jpn","171","A4変"
"4579209508","9784579209507","ミナペルホネンの織り (mina¨ perhonen)","ミナペルホネン 著","文化出版局","2005-08","20年","2200","","","2005","1","","","1437","2","２００５年にブランド設立１０周年を迎えたミナペルホネンの布にスポットを当てた本。ジャカード織りから平織り、綾織りと、個の存在と生命力を感じさせる、デザインが素材や技法に染み込んでいる布を紹介。","家事","jpn","","A5"
